id,country_id
1979,1
1984,12
1984,1
1985,21
1985,6
1985,12
1985,1
1986,5
1986,15
1986,32
1986,8
1987,18
1987,19
1988,5
1988,12
1988,63
1988,1
1989,21
1989,5
1989,20
1990,5
1990,1
1991,1
1992,1
1993,5
1993,8
1994,1
1995,1
1996,1
1996,6
1996,2
1996,12
1997,5
1997,12
1998,5
1998,64
1999,1
2000,6
2000,56
2001,1
2002,8
2002,5
2003,5
2004,6
2005,1
2006,1
2007,1
2008,21
2008,2
2008,26
2009,32
2009,49
2010,2
2011,5
2011,1
2012,16
2012,6
2012,5
2012,9
2013,5
2013,1
2014,6
2014,38
2015,26
2016,65
2016,5
2016,54
2016,32
2017,1
2018,1
2019,1
2020,1
2021,5
2021,12
2022,1
2023,1
2023,54
2024,6
2024,1
2026,6
2026,1
2028,1
2029,5
2033,1
2034,29
2034,1
2038,12
2038,1
2039,1
2042,1
2043,13
2043,6
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2048,6
2049,1
2054,1
2055,1
2056,1
2057,5
2057,1
2058,1
2059,1
2061,4
2062,1
2064,1
2067,1
2069,13
2069,1
2071,1
2072,13
2074,1
2075,1
2077,1
2078,1
2079,1
2080,1
2082,1
2084,12
2084,1
2085,1
2086,1
2087,2
2087,1
2088,12
2088,1
2089,1
2091,1
2093,9
2094,1
2095,1
2097,2
2097,1
2098,1
2099,1
2100,1
2102,2
2102,1
2103,1
2104,5
2105,1
2107,1
2108,1
2109,1
2110,2
2110,5
2111,21
2111,5
2112,1
2114,2
2114,1
2115,1
2116,1
2117,6
2118,1
2119,1
2122,1
2123,1
2124,1
2125,1
2132,1
2133,1
2134,1
2135,1
2139,20
2139,1
2140,5
2140,1
2141,1
2142,1
2143,12
2144,1
2148,1
2149,6
2149,1
2151,52
2151,6
2151,1
2152,1
2153,12
2153,1
2154,1
2155,1
2157,1
2160,1
2161,1
2162,1
2163,1
2164,5
2164,1
2165,13
2165,6
2166,5
2166,12
2168,29
2169,6
2171,1
2172,10
2176,1
2179,1
2180,11
2182,1
2185,1
2186,1
2189,1
2191,14
2192,5
2192,8
2193,1
2195,6
2196,12
2197,32
2197,5
2199,1
2200,34
2200,59
2202,1
2204,6
2207,1
2207,6
2210,12
2210,1
2211,6
2212,1
2232,59
2239,12
2241,6
2246,1
2251,1
2252,12
2252,1
2252,13
2253,6
2253,1
2255,1
2259,4
2259,5
2259,6
2259,39
2259,1
2260,1
2261,1
2262,6
2263,1
2264,6
2266,5
2267,1
2268,12
2268,1
2269,28
2270,7
2270,12
2270,1
2274,1
2275,6
2275,1
2277,6
2277,1
2280,1
2282,5
2284,13
2284,1
2286,9
2286,32
2286,6
2286,27
2287,1
2288,1
2289,1
2289,12
2289,49
2289,8
2290,5
2290,35
2290,1
2291,1
2292,1
2293,1
2294,1
2295,1
2297,5
2297,1
2300,1
2302,1
2307,1
2309,6
2309,12
2309,1
2310,1
2312,13
2312,6
2312,1
2313,1
2319,1
2320,1
2321,1
2322,1
2323,1
2324,1
2325,28
2325,12
2330,5
2331,34
2331,6
2331,8
2331,1
2332,5
2333,6
2334,5
2335,5
2348,1
2349,6
2355,1
2357,1
2359,1
2360,5
2360,12
2362,1
2363,5
2370,1
2371,19
2371,14
2371,5
2371,28
2383,5
2383,1
2395,32
2395,5
2395,6
2395,8
2395,14
2397,1
2428,1
2433,5
2436,1
2438,1
2440,26
2441,14
2442,13
2444,14
2447,1
2453,1
2454,34
2454,25
2454,66
2454,1
2455,5
2457,5
2459,5
2460,14
2462,5
2462,8
2463,20
2469,14
2470,14
2470,39
2470,5
2486,12
2486,1
2486,35
2487,2
2493,1
2501,1
2501,6
2501,34
2502,6
2502,1
2503,6
2503,1
2516,12
2517,2
2525,8
2525,1
2527,8
2527,5
2528,5
2539,1
2546,5
2565,1
2566,5
2567,1
2574,5
2575,24
2575,1
2576,1
2577,12
2587,8
2587,12
2588,14
2593,5
2594,5
2604,1
2605,1
2608,1
2609,1
2610,1
2611,1
2612,1
2613,1
2614,1
2616,1
2617,1
2619,1
2620,1
2621,1
2623,1
2625,1
2636,56
2636,1
2637,1
2639,1
2640,1
2642,29
2642,1
2648,20
2649,1
2652,1
2654,1
2655,1
2657,1
2661,1
2662,1
2665,1
2666,29
2666,1
2667,1
2668,6
2668,1
2669,1
2669,12
2671,2
2675,1
2687,5
2687,1
2690,1
2692,6
2694,21
2698,1
2699,13
2699,1
2701,18
2701,6
2701,8
2701,1
2721,65
2721,5
2722,14
2728,13
2731,5
2734,6
2734,8
2734,1
2742,13
2742,2
2742,12
2748,8
2748,5
2749,6
2749,1
2750,12
2752,1
2752,5
2752,12
2753,9
2754,9
2755,1
2756,1
2757,1
2758,1
2759,29
2760,12
2761,12
2762,12
2764,9
2767,5
2768,1
2769,1
2770,1
2771,1
2777,26
2778,1
2779,6
2779,1
2786,5
2786,8
2787,1
2788,1
2789,1
2791,1
2798,5
2800,1
2805,58
2813,5
2817,8
2817,5
2817,19
2817,12
2830,1
2832,1
2841,5
2860,5
2861,5
2882,5
2887,1
2890,14
2890,9
2891,30
2891,29
2891,12
2892,29
2894,5
2895,1
2897,1
2898,1
2899,5
2899,6
2900,1
2907,1
2909,59
2911,12
2912,5
2923,12
2923,1
2924,1
2925,1
2926,1
2927,6
2928,1
2929,1
2959,29
2959,1
2963,5
2965,1
2966,29
2966,1
2969,6
2972,6
2973,28
2974,18
2974,6
2976,12
2976,1
2977,12
2977,1
2978,1
2979,1
2981,1
2982,1
2984,12
2988,1
2989,1
2990,1
2993,14
2993,8
2993,5
