production_companies_id,name
12200,Province of British Columbia Production Services Tax Credit
54280,Infinity Media
54281,A-Line Pictures
215,Double Feature Films
216,Jersey Films
11728,Camelot Pictures
11729,Large s Ark Productions
2630,Majestic Films International
373,Asymmetrical Productions
635,Les Films Alain Sarde
637,The Picture Factory
59423,"The Straight Story, Inc"
217,Ponti-De Laurentiis Cinematografica
802,Egg Pictures
5869,Les Productions Lazennec
16366,La Sept Cinéma
22684,Kasso Inc. Productions
68517,Studio Image
68518,Cofinergie 6
67261,Wüste Film
12204,Tiger Moth Productions
5888,Walt Disney
10221,Walden Media
31080,Polygram Filmed Entertainment
23449,American Empirical Pictures
9387,Cineriz
10882,Francinex
250,Canal+Polska
260,Heritage Films
266,Agencja Produkcji Filmowej
267,Beverly Detroit
268,FilmFernsehFonds Bayern
269,Filmboard Berlin-Brandenburg (FBB)
271,Mainstream S.A.
4247,Filmförderungsanstalt (FFA)
10201,Interscope Communications
19150,Telewizja Polska (TVP)
31087,Runteam
9383,Blue Sky Studios
11749,Twentieth Century Fox Animation
10715,Alfred J. Hitchcock Productions
7816,Gray Film
13800,Gaumont Distribution
21172,Alter Films
30847,Specta Films
93469,Film del Centauro
93470,Cady Films
7508,Produzioni Europee Associati (PEA)
42498,Arturo González Producciones Cinematográficas S.A.
806,Téléfilm Canada
21953,Feature Film Project
22207,Cube Libre
22208,Harold Greenberg Fund
22209,Odeon Films
22210,Ontario Film Development Corporation
22211,Viacom Canada
230,Boje Buck Produktion
347,Centropolis Entertainment
11362,Mark Gordon Productions
54502,Mel s Cite du Cinema
2291,Journeyman Pictures
7429,HBO Films
768,Ghost House Pictures
3547,Mad Circus Films
7035,Lions Gate Entertainments
44323,Mr. X
220,Pathé Consortium Cinéma
221,Riama Film
222,Société Nationale Pathé Cinéma
1784,Partizan
227,Happy End Filmproductions AB
228,Filmpool Nord
6339,Solar Films inc.
6416,Svensk Filmindustri
224,Wega Film
225,BIM Distribuzione
310,Centre National de la Cinématographie
10273,Filmfonds Wien
11388,ORF Film/Fernseh-Abkommen
11389,Österreichisches Filminstitut
15547,Intial Productions
639,DR TV
240,Bazmark Films
2406,Filmförderung Hamburg
241,Herzog
2122,Erma-Film
59425,Ernst Marischka & Co
59426,Erma-Filmproduktionsgesellschaft
242,GF Studios AB
2495,Lefwander Kapitalförvaltning AB
7937,Sonet Film AB
243,CB Films
244,French Productions
6174,Gus Productions
245,Cowboy Films
246,Film Council
247,Granada Film Productions
10887,Y Productions
10888,Mediana Productions Filmgesellschaft
259,Douek Productions
379,Truth and Soul Pictures Inc
7503,Protozoa Pictures
22566,Harvest Filmworks
22567,Plantain Films
273,Tatira-Hiller Productions
4051,Warner Brothers/Seven Arts
251,Avenue Pictures Productions
258,Scott Rudin Productions
6235,Mirabai Films
256,"Tesela, P.C."
257,La Zanfoñia Producciones
12145,Shaft Productions Ltd.
261,Samuel Goldwyn
262,Independent Film Distributors
3632,Romulus Films
2253,Lawrence Bender Productions
23201,Be Gentlemen Limited Partnership
278,Propaganda Films
279,Single Cell Pictures
20567,Four By Two Productions
3982,Darkwoods Productions
14683,Ciné Tamaris
285,Live Entertainment
1632,Lionsgate
26198,Dog Eat Dog Productions Inc.
274,Discovery Docs
449,Virtual Studios
1633,Next Entertainment
14024,Irwin Allen Productions
18990,Radiant Productions
19943,Synthesis Entertainment
28,Newmarket Films
276,Guber/Peters Company
277,Roven Productions
282,Bookshop Productions
283,Notting Hill Pictures
289,Ingenious Film Partners
290,Ingenious Media
291,Perdido Prod.
2141,Kaleidoscope Entertainment
2142,Trial by Fire Films
16110,Südwestrundfunk (SWR)
17834,23/5 Filmproduktion GmbH
10898,Légende Entreprises
11583,Syalis DA
11584,De Fina-Cappa
293,Avalon Studios
294,New Zealand Film Commission
295,New Zealand On Air
297,Aardman Animations
521,DreamWorks Animation
4021,The Halcyon Company
4022,Wonderland Sound and Vision
309,Angoa-Agicoa
311,Procirep
313,TS Productions
314,Uni Etoile 2
10717,Shamley Productions
769,Destination Films
2313,Andrea Sperling Productions
298,Carlyle Production
299,Instituto Mexicano de Cinematografía
300,Alameda Films
301,Cinecolor-México
303,Cinecolor-Argentina
304,Artcam y Fonds Sud Cinéma
51816,British International Pictures (BIP)
316,Wildwood Enterprises
3214,Daiei Motion Picture Company
93380,Eleventh Street Production
93381,Jon Kilik
20555,Taurus Film
54050,Linson Films
54051,Atman Entertainment
54052,Knickerbocker Films
10281,Kent Productions
317,Istituto Luce
320,Trollhättan Film AB
7777,Slot Machine
12023,Nederlandse Programma Stichting (NPS)
12045,Isabella Films B.V.
12390,WDR / Arte
53873,Something Else B.V.
53874,Sigma Films
53875,Zoma Films Ltd.
53879,Norsk TV2 AS
318,CTB Film Company
19551,Marvel Enterprises
326,Laura Ziskin Productions
323,"Diana Productions, Inc."
430,Lonely Film Productions GmbH & Co. KG.
431,Donners  Company
432,Branded Entertainment/Batfilm Productions
433,Weed Road Pictures
434,3 Art Entertainment
435,Di Bonaventura Pictures
1073,Gordon Company
23434,Big Bug Pictures
11462,Alphaville Films
49325,Parkes+MacDonald Image Nation
8277,Flach Film
15130,Urania Pictures S.r.l.
18367,Centre National de la Cinématographie (CNC)
79023,Immagine e Cinema
327,Columbia TriStar Nordisk Film Distributors A/S
328,TLA Releasing
330,Fanes Film
1107,Seven Pictures
52109,Typhoon
364,The Rank Organisation
1865,Zanuck/Brown Productions
335,Tig Productions
336,Wiedemann & Berg Filmproduktion
337,Creado Film
20076,HandMade Films
58752,Python (Monty) Pictures
333,Original Film
26281,Ardustry Entertainment
11391,Tribeca Productions
11407,Baltimore Pictures
341,Silent Hill DCP Inc.
55914,Konami
8253,Skylark Productions
19927,Government of Malta
14120,The Directors Company
5120,Mosfilm
77882,Creative Unit of Writers & Cinema Workers
77883,Unit Four
11084,Parkes/MacDonald Productions
345,O2 Filmes
346,VideoFilmes
856,Wild Bunch
10954,Globo filmes
11444,Lumiere
11445,Hank Levine Film
11446,Lereby Productions
50819,Natant
372,Groucho II Film Partnership
375,Heineken Branded Entertainment
205,Mirage Entertainment
396,SLM Production Group
803,Alliance Atlantis Communications
7383,"Kennedy/Marshall Company, The"
17032,Barry Mendel Productions
986,Degeto Film
2278,EOS Entertainment
2683,Rai Cinema
3391,Österreichischer Rundfunk (ORF)
152,Icon Productions
14718,Radar Pictures
20634,"Bedford Falls Company, The"
1236,Mandalay Entertainment
351,Epoch Film Co.
13040,Kasdan Pictures
4267,Delphi Films
47565,Black Rhino Productions
3978,Robert Stigwood Organization (RSO)
353,Kino Vision
354,Orly Films
2188,Artisan Entertainment
3315,Origen Producciones Cinematograficas S.A.
3823,TF1 Films Production
11352,Prominent Features
4541,Raybert Productions
14595,Pando Company Inc.
500,Goldcrest Films International
502,International Film Investors
7049,Enigma Productions
85822,Luis Buñuel
358,Noel Gay Motion Picture Company
359,Figment Films
360,Geffen Pictures
361,Blue Parrot Productions
9168,Bad Hat Harry Productions
31892,Loew s Incorporated
5488,Fox Film Corporation
362,Film Holland
363,Excelsior Films
11358,Little Bird
13721,Winkast Film Productions
24905,Union
370,Melampo Cinematografica
236,October Films
374,Lost Highway Productions
365,Nelson Entertainment
367,Kemp Company
368,Splendid Pictures
381,Campanile Productions
382,Newman-Foreman Productions
383,Goskino Productions
10038,Square Enix
479,Discina
386,Paris Films Productions
387,Five Films
11290,Robert et Raymond Hakim
37667,Aspen Productions (I)
79024,Ingo Preminger Productions
81,Plan B Entertainment
7636,Nimar Studios
19107,Helena Productions
19108,Latina Pictures
1959,Jofa Atelier
1960,Prana-Film GmbH
388,Horizon Pictures
1448,Pro-ject Filmproduktion
1521,Artemis Film
1548,Franz Seitz Filmproduktion
5982,Bioskop Film
12838,Film Polski
59351,Hallelujah Films
59352,GGB-14
8568,Albatros Filmproduktion
10482,Trio Films
11625,Fengler Films
533,Janus Films
23370,Constant c Productions
393,MACT Productions
394,Videofilms
395,Riofilm
397,Révillon Frères
398,Egg Films
399,Show East
436,1492 Pictures
7364,Heyday Films
437,Heyday films
462,Patalex IV Productions Limited
400,Olympia-Film GmbH
43910,South Side Amusement Company
406,Havoc
405,Giorgos Papalios Productions
7933,Compagnie Cinématographique de France
407,Dreamland Productions
2242,Everyman Pictures
11272,Peregrine
272,Spelling Entertainment
408,Avenue Entertainment
13309,Jack Rollins & Charles H. Joffe Productions
410,Sovkino
13913,Joseph M. Schenck Productions
1317,Charles K. Feldman Group
413,Proscenium Films
3462,Walter Shenson Films
11506,Maljack Productions
414,Fountainbridge Films
415,Laurence Mark Productions
50830,Finding Forrester Productions
418,New South Wales Film & Television Office
5186,The Australian Film Commission
14089,Jan Chapman Productions
448,Key Films
862,The Kennedy/Marshall Company
915,Hollywood Pictures
469,Hemdale Film Corporation
470,Recorded Pictures Company
472,Soprofilms
473,TAO Film
474,Yanco
443,Big Talk Productions
53047,De Wolfe Music
53048,Inside Track 2
450,Anarchos Productions
23889,Fünfte Babelsberg Film
452,Maurice McEndree Productions
453,Walter Reade Organization Inc.
454,Faces International Films
455,Permut Presentations
456,WCG Entertainment Productions
458,Douglas/Reuther Productions
25358,Krane Entertainment
11705,Los Hooligans Productions
459,Les Films Pomereu
460,Horse Film
16670,Société Nouvelle de Cinématographie (SNC)
461,Les Films Christian Fechner
416,Python (Monty) Pictures Limited
463,Michael White Productions
464,National Film Trustee Company
465,Twickenham Film Studios
466,Avalon/NFU Studios
467,Renaissance Pictures
3102,Renaissance Films
47380,Rosebud Productions
10308,Dino De Laurentiis Company
476,Underworld Entertainment
8880,Winkler Films
477,Hughes Entertainment
2570,Bona Fide Productions
44916,Société Lumière
7159,Star-Film
481,La Nouvelle Edition Francaise
1234,Réalisation d Art Cinématographique
478,Cady
7448,Tobis Filmkunst
1237,Société générale des films
501,Indo-British
503,National Film Development Corporation of India
504,Carolina Bank
486,Portobello Pictures
1083,Ceská Televize
6419,Biograf Jan Svěrák
7976,CinemArt
11011,Fonds Eurimages du Conseil de l Europe
29327,Space Films
44592,The Czech Republic State Fund for Support and Development of Cinematography
485,Vinyl Films
7293,DreamWorks Pictures
10230,Blue Wolf
1931,Filmové Studio Barrandov
494,AVCO Embassy Pictures
495,EDI
498,Debra Hill Productions
497,Revolution Studios
484,De Laurentiis Entertainment Group (DEG)
2767,Mace Neufeld Productions
676,Monarchy Enterprises B.V.
505,Cruel Productions
509,Rhombus Ringfilm
510,Lunaris Film
511,Ultramar Films
554,Silver Screen Partners III
516,Seven Arts Productions
517,Allied Artists
518,Transworld Pictures
512,Cocinor
513,Cosmo-Films
10324,William Castle Productions
519,11:11 Mediaworks
4286,Juno Pix
65394,Cecchi Gori Pictures
520,Pacific Data Images (PDI)
23276,Trumbull/Gruskoff Productions
606,American Werewolf Inc.
607,Lyncanthrope Films
678,Turner Network Television
594,Capella International
595,Eric s Boy
15888,Moving Pictures
52943,Gratitude International
523,Camelot Productions
524,Canal Plus Group
525,Ixtlan Productions
526,Roxlom Films
58215,Arora
12657,Production I.G.
532,Morpheus
7339,Hyperion Pictures
11356,Horizon Pictures (II)
6226,Penthouse
10208,Long Road Productions
10330,Universal International Pictures (UI)
43854,Nero-Film AG
12778,Rizzoli Film
20994,Amato Film
41116,Produzione Films Vittorio De Sica
1223,Sino Filmes
541,Famous Players Ltd
542,Guardian Trust Company
543,Filmplan International II
26727,Universal Television
8263,EMI Films
11458,Julia Phillips and Michael Phillips Productions
546,Monsoon Pictures
547,Open City Films
561,Anhelo Productions
562,Appian Way
539,Block 2 Pictures
540,Jet Tone Production
255,Paradis Films
19858,Shanghai Film Group Corporation
26492,Jet Tone Films
545,Ten Thirteen Productions
20743,Imagine Films Entertainment
553,Barclays Mercantile Industrial Finance
10757,Christmas Tree Films
2886,Cineguild
549,Swanford Films
551,Mandalay Pictures
22182,KC Medien
24136,Reperage
24137,DOS
24138,MP Film Management
552,Dark Horse Entertainment
10217,Walt Disney Feature Animation
762,Mutual Film Company
1176,Lorimar Film Entertainment
18737,NFH Productions
8791,Sherwood Productions
80461,Carolco International N.V.
964,Keith Barish Productions
965,TAFT Entertainment Pictures
6068,HBO
23005,Braveworld Productions
560,Film Colony
94856,Robert Evans Company
563,Movieworld Productions
565,UK Film & TV Production Company
566,National Film & Video Foundation of South Africa
20004,"Zanuck Company, The"
12943,APJAC Productions
571,Highland Films
572,New Amsterdam Entertainment
2493,Tandem Communications
13866,The Caddo Company
618,Deutsche Filmvertriebs GmbH
619,Terra-Filmkunst GmbH
575,Bergen Film
576,Bard Entertainments
577,NPS Televisie
60103,Smokescreen Inc.
579,Alliance Communications
599,Solar Productions
1138,Filmways Pictures
28205,"Samuel Goldwyn Company, The"
1353,Hanna-Barbera Productions
608,Dor Film Produktionsgesellschaft GmbH
