collection_id,id
96682,13016
114993,13017
261590,13025
286177,13054
159603,13058
436982,13127
315595,13179
96682,13180
159603,13185
52985,13186
56005,13190
123203,13204
87250,13205
9735,13207
19160,13225
322330,13246
13800,13253
140760,13274
434533,13282
411859,13284
411859,13285
279445,13293
153010,13313
30663,13335
113679,13348
195441,13358
8050,13360
464270,13363
95051,13365
282246,13378
242587,13382
9518,13387
394204,13396
124879,13409
178117,13417
463394,13430
115776,13448
115575,13475
116669,13486
109076,13489
86797,13491
105324,13515
86797,13522
108502,13541
259398,13552
374418,13559
248339,13564
47391,13567
33071,13612
209739,13632
85945,13635
479319,13643
133352,13648
87253,13649
100693,13654
148055,13655
170754,13665
259027,13666
363015,13675
33085,13676
338416,13679
106768,13683
66761,13690
43063,13721
260586,13734
136214,13761
53159,13767
98430,13797
9485,13804
123932,13812
135441,13861
59586,13888
192532,13899
137696,13931
14377,13939
168880,13955
89272,13965
87800,13981
386495,13984
25410,13988
140612,14003
126580,14021
98513,14028
430201,14029
48037,14035
48190,14052
261526,14053
91657,14059
14095,14087
14095,14088
23026,14092
353721,14114
55419,14128
12087,14136
12087,14140
228887,14144
151263,14154
17178,14158
44976,14194
85890,14207
85890,14208
124188,14212
254636,14240
14246,14245
14246,14247
123438,14277
230532,14306
58588,14310
45355,14348
14377,14373
12077,14387
20970,14394
70764,14400
87256,14405
374386,14433
264437,14435
57129,14444
529,14447
286038,14451
297371,14457
129293,14463
466318,14503
21624,14546
328372,14560
14563,14564
98435,14571
98435,14572
47814,14588
47814,14589
47814,14590
47814,14594
47814,14595
286904,14609
286904,14611
52749,14620
269190,14624
104833,14628
243738,14631
375228,14636
383632,14676
129453,14681
476056,14683
378268,14695
96661,14711
85890,14728
91657,14749
70068,14756
376970,14761
33071,14774
458017,14787
90348,14821
90348,14822
199141,14829
122017,14853
105995,14863
135468,14869
110179,14872
97459,14873
271668,14906
393564,14908
96937,14913
421904,14919
192174,14943
100415,14962
280562,15026
417491,15049
13800,15060
299748,15066
117777,15070
159613,15077
110179,15088
64751,15092
93731,15105
87220,15120
98430,15135
210303,15137
351230,15142
91588,15152
437451,15157
47770,15158
130440,15159
263193,15171
127280,15206
9887,15212
195646,15227
32135,15239
89188,15247
117777,15255
92222,15259
430186,15261
96937,15262
261203,15268
10441,15289
475511,15323
475511,15324
3167,15338
354210,15347
85946,15357
85945,15362
145901,15371
46512,15379
96677,15384
282246,15400
168182,15417
285879,15434
86553,15440
403603,15449
24761,15472
47983,15482
206921,15493
264339,15495
321063,15515
97461,15567
43066,15582
91588,15588
86334,15590
119050,15602
349889,15618
86112,15641
410261,15653
106768,15657
86346,15674
362554,15681
102008,15706
322330,15718
205672,15724
312735,15739
461937,15740
461937,15759
374509,15766
374512,15767
410261,15789
227147,15802
421904,15805
152544,15809
289288,15824
289288,15830
289288,15840
221544,15849
48655,15895
114993,15898
97237,15900
97237,15901
97237,15902
97237,15904
294519,15943
294519,15944
271668,15947
86027,15969
97156,15973
264317,15974
19163,15997
122952,15999
137913,16003
102019,16007
112537,16026
206449,16049
10441,16068
449750,16085
159600,16094
159600,16096
159600,16097
126166,16113
55419,16119
187734,16130
47770,16139
102019,16140
413731,16143
47770,16146
243598,16162
141086,16225
379475,16234
397842,16235
391040,16246
97919,16250
190435,16257
52749,16258
