collection_id,name
87258,The Descent Collection
212525,Trinità  Collection
352789,Zoolander Collection
436295,Surf s Up Collection
162028,Stakeout Collection
109609,The Fly Collection
9435,Babe Collection
9436,The Crow Collection
205860,The Black Mask Collection
122952,Vampire Hunter D Collection
409026,Nobody Collection
133297,Ants in the Pants Collection
86117,Johnny English Collection
86486,Spy Kids Collection
9500,Werner Collection
165855,Kleines Arschloch Collection
77816,Kung Fu Panda Collection
98580,Candyman Collection
110127,Analyze Collection
88574,Scanners Collection
476054,The Hitcher (1986) Collection
14246,Sniper Collection
12263,The Exorcist Collection
45154,Darkman Collection
287684,Schule Collection
117952,The Dentist Collection
44979,Big Momma s House Collection
338282,Single White Female Collection
86860,Scooby-Doo Collection
47770,Phantasm Collection
114783,Cheaper by the Dozen Collection
1972,Ju-on Collection
124188,Pulse Collection
135502,Allan Quatermain Collection
104833,Fletch Collection
110177,Goal! Collection
97771,Major League Collection
17368,The Sisterhood of the Traveling Pants Collection
8918,The Hills Have Eyes (Reboot) Collection
426985,Ivan The Terrible Collection
215606,Seven Dwarfs Collection
468222,The Incredibles Collection
107469,Save The Last Dance Collection
97768,Lake Placid Collection
92012,Happy Feet Collection
286006,Rest Stop Collection
11794,Ginger Snaps Collection
171439,F/X Collection
52760,Urban Legend
107674,The Princess Diaries Collection
268098,Wolf Creek Collection
52985,Wrong Turn Collection
351886,The Postman Collection
348843,Vampires Collection
100970,The Fox and the Hound Collection
101385,Trailer Park Boys Collection
164395,The Messengers Collection
91657,Disney Buddies Collection
55428,Curious George Collection
299748,Walking Tall Collection
85817,Arthur and the Invisibles Collection
86224,The Saint Collection
296872,See No Evil Collection
96472,Brother Bear Collection
124951,Mannequin Collection
153010,Beauty and the Beast Collection
144689,Honey Collection
43220,National Lampoon’s Van Wilder Collection
404111,100 Girls Collection
300431,Lucky Stars Collection
85946,District 13 Collection
276838,When a Stranger Calls Collection
397842,The Amityville Horror Collection
121195,9½ Weeks Collection
98430,Feast Collection
467577,Evil Bong Collection
306063,Saints and Soldiers Collection
174245,Alien Nation Collection
98853,Cyborg Collection
224976,Road House Collection
99727,Stuart Little Collection
33085,The Little Mermaid Collection
423173,Bad Santa Collection
124935,The Lawnmower Man Collection
43063,Half Past Dead Collection
176118,The Are We Collection
89137,How to Train Your Dragon Collection
131296,Thor Collection
256377,The Muppet Collection
105322,Kickboxer Collection
34055,Pokémon Collection
104068,Tales of the Four Seasons
109592,Porky s Collection
192541,The Twins Effect Collection
238448,Les Ripoux - Trilogie
184977,Shaolin Temple Collection
86112,Vacancy Collection
86307,Cocoon Collection
97460,Lady and the Tramp Collection
88735,K-9 Collection
135489,Wishmaster Collection
52888,The Visitors Collection
95664,Deuce Bigalow Collection
74083,Flodder Collection
10709,The Mighty Ducks Collection
43563,Friday Collection
168880,Beethoven Collection
124916,101 Dalmatians (Live-Action) Collection
268014,The Big Bottom Box
86116,Death Race Collection
232844,Nim s Island Collection
381396,Bats Collection
102322,Sherlock Holmes Collection
136214,Pocahontas Collection
97456,The Hunchback of Notre Dame Collection
116661,The Arrival Collection
159616,East is East Collection
246839,Center Stage Collection
277739,"Heaven, Hell and Purgatory Collection"
115822,Dracula 2000 Collection
167552,Lemon Popsicle Collection
10455,Child s Play Collection
126221,George of the Jungle Collection
145784,The Philadelphia Experiment - Collezione
176097,Barbershop Collection
10457,Once Upon a Time in China Collection
99606,Mean Girls Collection
374512,Godzilla (Millennium) Collection
147669,Das Sams Collection
52783,Wall Street Collection
87236,Mulan Collection
312977,Iron Sky Collection
143755,Henry: Portrait of a Serial Killer Collection
55422,Peter Pan Collection
228887,Daddy Day Camp Collection
135498,King Kong (1976 series)
12077,St. Trinian s Collection
146534,Without a Paddle Collection
351721,The Sheriff and the Satellite Kid Collection
386818,Django - Original films
58588,Infernal Affairs Collection
259401,The Invisible Man (Universal Series)
238419,Anders Matthesen
247294,Showgirls Collection
288280,Saturday Night Fever Collection
115225,Children of the Corn Collection
93568,Cross of Iron Collection
285130,2001 Maniacs Collection
309259,Naked Collection
166378,Joy Ride Collection
12087,Herbie Collection
366826,Navarone Collection
10441,Babylon 5 Collection
91427,Agent Cody Banks Collection
101471,Return of the Living Dead Collection
375886,Willard
105764,The Tall Blond Man Collection
87253,High School Musical Collection
353325,Joe Dirt Collection
221537,Creature From The Black Lagoon (Universal Series)
146136,Armour of God Collection
87255,Hoodwinked! Collection
87014,Cats & Dogs Collection
87220,Smokey and the Bandit Collection
167985,Richie Rich Collection
10964,Flatfoot Collection
117927,House of the Dead Collection
180854,Problem Child Collection
86341,Fortress Collection
57971,The Rescuers Collection
86334,The Prince & Me Collection
305360,Lucky Luke (Terence Hill) Collection
473850,My Sassy Girl Collection
52835,French Fried Vacation
55419,Cinderella Collection
355490,Freeway Collection
12203,Drunken Master Collection
462565,The Secret Garden Collection
363966,Care Bears Collection
